Season,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2010,0.536585366,0.682926829,0.292682927,0.414634146,0.756097561,0.231707317,0.695121951,0.609756098,0.365853659,0.43902439,0.524390244,0.451219512,0.390243902,0.695121951,0.56097561,0.707317073,0.426829268,0.207317073,0.56097561,0.512195122,0.670731707,0.634146341,0.5,0.487804878,0.585365854,0.292682927,0.743902439,0.268292683,0.475609756,0.280487805
2011,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012,0.536585366,0.5,0.597560976,0.256097561,0.548780488,0.292682927,0.5,0.695121951,0.353658537,0.573170732,0.548780488,0.597560976,0.682926829,0.548780488,0.682926829,0.804878049,0.463414634,0.37804878,0.329268293,0.658536585,0.731707317,0.243902439,0.414634146,0.304878049,0.402439024,0.341463415,0.707317073,0.414634146,0.524390244,0.353658537
2013,0.463414634,0.304878049,0.536585366,0.524390244,0.585365854,0.402439024,0.597560976,0.43902439,0.353658537,0.62195122,0.658536585,0.682926829,0.695121951,0.329268293,0.609756098,0.658536585,0.182926829,0.487804878,0.414634146,0.451219512,0.719512195,0.280487805,0.231707317,0.585365854,0.658536585,0.341463415,0.756097561,0.585365854,0.304878049,0.536585366
2014,0.731707317,0.487804878,0.463414634,0.402439024,0.609756098,0.646341463,0.609756098,0.365853659,0.390243902,0.817073171,0.682926829,0.463414634,0.682926829,0.256097561,0.670731707,0.451219512,0.5,0.195121951,0.548780488,0.207317073,0.548780488,0.304878049,0.219512195,0.475609756,0.62195122,0.353658537,0.670731707,0.597560976,0.463414634,0.56097561
2015,0.585365854,0.585365854,0.256097561,0.585365854,0.512195122,0.695121951,0.512195122,0.402439024,0.536585366,0.890243902,0.5,0.548780488,0.646341463,0.207317073,0.512195122,0.585365854,0.402439024,0.353658537,0.365853659,0.390243902,0.670731707,0.426829268,0.12195122,0.280487805,0.536585366,0.402439024,0.817073171,0.682926829,0.487804878,0.5
2016,0.524390244,0.646341463,0.243902439,0.43902439,0.5,0.62195122,0.402439024,0.487804878,0.451219512,0.817073171,0.670731707,0.512195122,0.62195122,0.317073171,0.524390244,0.5,0.512195122,0.37804878,0.414634146,0.37804878,0.573170732,0.353658537,0.341463415,0.292682927,0.5,0.390243902,0.743902439,0.62195122,0.62195122,0.597560976
